Mon Feb 08 15:55:58 2016	Price: 682.74
Mon Feb 08 15:56:06 2016	Price: 682.74
Mon Feb 08 15:56:13 2016	Price: 682.74
Mon Feb 08 15:56:19 2016	Price: 682.74
Mon Feb 08 15:56:25 2016	Price: 682.74
Mon Feb 08 15:56:32 2016	Price: 682.74
Mon Feb 08 15:56:38 2016	Price: 682.74
Mon Feb 08 15:56:44 2016	Price: 682.74
Mon Feb 08 15:56:51 2016	Price: 682.74
Mon Feb 08 15:56:57 2016	Price: 682.74
Mon Feb 08 15:57:03 2016	Price: 682.74
Mon Feb 08 15:57:11 2016	Price: 682.74
Mon Feb 08 15:57:17 2016	Price: 682.74
Mon Feb 08 15:57:24 2016	Price: 682.74
Mon Feb 08 15:57:30 2016	Price: 682.74
Mon Feb 08 15:57:36 2016	Price: 682.74
Mon Feb 08 15:57:42 2016	Price: 682.74
Mon Feb 08 15:59:32 2016	Price: 682.74
Mon Feb 08 15:59:38 2016	Price: 682.74
Mon Feb 08 15:59:45 2016	Price: 682.74
Mon Feb 08 15:59:51 2016	Price: 682.74
Mon Feb 08 15:59:57 2016	Price: 682.74
Mon Feb 08 16:00:03 2016	Price: 682.74
Mon Feb 08 16:00:10 2016	Price: 682.74
Mon Feb 08 16:00:16 2016	Price: 682.74
Mon Feb 08 16:00:22 2016	Price: 682.74
Mon Feb 08 16:00:29 2016	Price: 682.74
Mon Feb 08 16:00:36 2016	Price: 682.74
Mon Feb 08 16:02:50 2016	Price: 682.74
Mon Feb 08 16:02:56 2016	Price: 682.74
Mon Feb 08 16:03:02 2016	Price: 682.74
Mon Feb 08 16:03:08 2016	Price: 682.74
Mon Feb 08 16:03:15 2016	Price: 682.74
Mon Feb 08 16:03:21 2016	Price: 682.74
Mon Feb 08 16:03:27 2016	Price: 682.74
Mon Feb 08 16:03:34 2016	Price: 682.74
Mon Feb 08 16:03:40 2016	Price: 682.74
Mon Feb 08 16:03:48 2016	Price: 682.74
Mon Feb 08 16:03:54 2016	Price: 682.74
Mon Feb 08 16:04:01 2016	Price: 682.74
Mon Feb 08 16:04:07 2016	Price: 682.74
Mon Feb 08 16:04:13 2016	Price: 682.74
Mon Feb 08 16:04:20 2016	Price: 682.74
Mon Feb 08 16:04:26 2016	Price: 682.74
Mon Feb 08 16:04:32 2016	Price: 682.74
Mon Feb 08 16:04:39 2016	Price: 682.74
Mon Feb 08 16:04:45 2016	Price: 682.74
Mon Feb 08 16:04:53 2016	Price: 682.74
Mon Feb 08 16:05:00 2016	Price: 682.74
Mon Feb 08 16:05:06 2016	Price: 682.74
Mon Feb 08 16:05:12 2016	Price: 682.74
Mon Feb 08 16:05:18 2016	Price: 682.74
Mon Feb 08 16:05:25 2016	Price: 682.74
Mon Feb 08 16:05:31 2016	Price: 682.74
Mon Feb 08 16:05:37 2016	Price: 682.74
Mon Feb 08 16:05:44 2016	Price: 682.74
Mon Feb 08 16:05:50 2016	Price: 682.74
Mon Feb 08 16:05:58 2016	Price: 682.74
Mon Feb 08 16:06:04 2016	Price: 682.74
Mon Feb 08 16:06:10 2016	Price: 682.74
Mon Feb 08 16:06:17 2016	Price: 682.74
Mon Feb 08 16:06:23 2016	Price: 682.74
Mon Feb 08 16:06:29 2016	Price: 682.74
Mon Feb 08 16:06:35 2016	Price: 682.74
Mon Feb 08 16:06:42 2016	Price: 682.74
Mon Feb 08 16:06:48 2016	Price: 682.74
Mon Feb 08 16:06:54 2016	Price: 682.74
Mon Feb 08 16:07:02 2016	Price: 682.74
Mon Feb 08 16:07:09 2016	Price: 682.74
Mon Feb 08 16:07:15 2016	Price: 682.74
Mon Feb 08 16:07:21 2016	Price: 682.74
Mon Feb 08 16:07:28 2016	Price: 682.74
Mon Feb 08 16:07:34 2016	Price: 682.74
Mon Feb 08 16:07:40 2016	Price: 682.74
Mon Feb 08 16:07:47 2016	Price: 682.74
Mon Feb 08 16:07:53 2016	Price: 682.74
Mon Feb 08 16:07:59 2016	Price: 682.74
Mon Feb 08 16:08:07 2016	Price: 682.74
Mon Feb 08 16:08:13 2016	Price: 682.74
Mon Feb 08 16:08:20 2016	Price: 682.74
Mon Feb 08 16:08:26 2016	Price: 682.74
Mon Feb 08 16:08:32 2016	Price: 682.74
Mon Feb 08 16:08:39 2016	Price: 682.74
Mon Feb 08 16:08:45 2016	Price: 682.74
Mon Feb 08 16:08:51 2016	Price: 682.74
Mon Feb 08 16:08:58 2016	Price: 682.74
Mon Feb 08 16:09:04 2016	Price: 682.74
Mon Feb 08 16:09:12 2016	Price: 682.74
Mon Feb 08 16:09:19 2016	Price: 682.74
Mon Feb 08 16:09:25 2016	Price: 682.74
Mon Feb 08 16:09:31 2016	Price: 682.74
Mon Feb 08 16:09:37 2016	Price: 682.74
Mon Feb 08 16:09:44 2016	Price: 682.74
Mon Feb 08 16:09:50 2016	Price: 682.74
Mon Feb 08 16:09:56 2016	Price: 682.74
Mon Feb 08 16:10:03 2016	Price: 682.74
Mon Feb 08 16:10:09 2016	Price: 682.74
Mon Feb 08 16:10:17 2016	Price: 682.74
Mon Feb 08 16:10:23 2016	Price: 682.74
Mon Feb 08 16:10:48 2016	Price: 682.74
Mon Feb 08 16:10:55 2016	Price: 682.74
Mon Feb 08 16:11:01 2016	Price: 682.74
Mon Feb 08 16:11:07 2016	Price: 682.74
Mon Feb 08 16:11:14 2016	Price: 682.74
Mon Feb 08 16:11:20 2016	Price: 682.74
